GrantNumber;UseInspired_Comment;UseInspired_Inventor;UseInspired_LicenseType;UseInspired_Owner;UseInspired_PatentDecisionDate;UseInspired_PatentNumber;UseInspired_PatentOwnerDescription;UseInspired_PatentStatus;UseInspired_PriorityDate;UseInspired_ReviewerActivityType;UseInspired_Title;UseInspired_Type;UseInspired_Url;UseInspired_Year;UseInspiredId
171912;;;;;;;;;;;"FPPA (Field-programmable analog array) tutorial you will learn how to work with already existing FPAA design examples as well as how to create you own designs. We will guide you step by step through the whole process from implementation of your own circuit on the FPAA device to silicon data acquisition. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://drive.google.com/open?id=1cGVGOgQh7dNvbAsKY_-UOYXgHNslwnvX;;8DC7CC9F-9FE3-4721-B2C8-76CDB277D0C4
165186;;;;;;;;;;;Software prototype;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://github.com/domwoe/21datamarket;;645629FB-BB2E-4D3A-838E-F5003F600299
171912;;;;;;;;;;;"Conference publication (rejected entry) Soft WTA Network of Hodgkin Huxley Neurons
Implemented on a Floating Gate Based Device";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://drive.google.com/open?id=1VSvyO0F414GMWMjLvr_GQj1cz_lm-w0n;;932395B7-3151-4E5C-8177-7B35A464A588
174938;Active member in the National Working Group on CHF Reference Rates for financial reporting related topics  related to the benchmark transition from LIBOR to SARON;;;;;;;;;Industry / private companies;National Working Group on CHF Reference Rates;Expert/reviewer activity;https://www.snb.ch/en/ifor/finmkt/fnmkt_benchm/id/finmkt_reformrates;2019;9EBC4498-902A-4EB6-8D80-CE7D5F5C59E2
184273;;;;;;;;;;;"Code for the Medical Image Analysis paper ""Spatially Regularized Parametric Map Reconstruction for Fast Magnetic Resonance Fingerprinting""";Software;https://github.com/fabianbalsiger/mrf-reconstruction-media2020;2020;346B0418-0F08-4787-9BD5-C195F210FD8F
151801;;;;Grant holder / project staff;;;;;;;"2016©by Cécile Marti ";Other copyrights;;2016;F9609369-8BBC-46C6-974E-7853BCBC106D
161871;;;;;;;;;;;Umfangreicher Benchmarking-Report für alle multinationalen Unternehmen, die an der Online-Umfrage teilgenommen haben.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;082535CC-FEC7-410B-8A59-C64D31532D1D
152112;;;Software;;;;;;;;R package nontarget version 1.5;Licences (software and other);http://cran.r-project.org/web/packages/nontarget/index.html;2014;33CA6C1A-6467-468B-B714-C2DAD4266762
194975;;;;;;;;;;;Meaning extraction Helper (MEH) software;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;91818A19-889D-49B3-93A0-CBFCBF3EFA81
152272;Consultancy to selected managers and administrators of the Council and the Urban Planning Division of Lugano. Analysis of contract management between the City and the General Contractor. Advantages and setbacks of the contractual amendment in light of its performance. Presentation of new and forthcoming representational and managerial technologies for large building projects (B.I.M. Building Information Modeling).;;;;;;;;;Other administration / public sector;Council of Lugano;Expert/reviewer activity;;2014;B79D730D-3D9B-4D1E-98F2-0F2CF82EAEAF
152112;;;;;;;;;;;Prototyp R package enviMass version 2.0;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;DDF8F8FC-A9B3-4320-9842-7986BA854F8F
152112;;;Software;;;;;;;;R package enviPat version 1.9;Licences (software and other);http://cran.r-project.org/web/packages/enviPat/index.html;2014;BB28766A-98F9-4DA4-BF13-880BE0721077
181459;;;;;;;;;;;ChannelFlow.jl: A research code for turbulent flow simulations;Software;;2019;41872210-5B0E-4070-9F7A-AAC3BF4F20B6
177225;;"Hersberger, Martin; Holtzhauer, Gregory; Krämer, Stefanie Dorothea; Lucchinetti, Eliana; Rogler, Gerhard; Zaugg, Michael";;Research institution;;EP21204659.3;;Pending;2021-10-26T00:00:00Z;;Lipid emulsion with anti-inflammatory effect for total parenteral nutrition;Patent;;2021;550F022A-6ED1-4426-B05A-C572A69A4875
199800;;;;;;;;;;Other administration / public sector;"Independent reviewer for several scientific journals in Nature Publishing Groups, American 
Chemistry Society (ACS), Royal Society of Chemistry (RSC) and MDPI (Multidisciplinary Digital 
Publishing Institute). ";Expert/reviewer activity;;2022;7323C53C-4848-40D0-8A95-17D9093B9849
168433;"Summary and Review of all international publication and doctoral dissertations concerning the theme of 
L´Arche and Jean Vanier



";;;;;;;;;Other foundations / NGOs;Templeton Project - John Templeton Foundation, USA;Expert/reviewer activity;https://www.templeton.org/humble-approach-initiative;2016;DE4A752E-3126-4EB3-A911-A5426E3953B8
168393;;;Software;;;;;;;;SimBit;Licences (software and other);https://github.com/RemiMattheyDoret/SimBit;2017;6761974D-00D2-4F6E-95D2-ACE066F59061
153965;;;;;;;;;;;SolUR;Start-up;;2019;C2C51E89-E828-456C-B61F-088FD4D5962D
154051;Member of the Editorial Board: Journal Hydrogen Storage and Production;;;;;;;;;Industry / private companies;Frontiers Energy Research;Expert/reviewer activity;http://journal.frontiersin.org/journal/energy-research/section/hydrogen-storage-and-production;2015;5739FE58-F75F-4CE5-8EA3-9F5D50095D72
154051;;;;;;;;;;;Built up of power to gas demonstrator at HSR Rapperswil including two technologies developed in our NRP70 joint project. We will bring in our know-how, materials and concepts.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.iet.hsr.ch/index.php?id=16924;;8BBA735B-E03C-4647-B2F0-9E05BE2CF9C6
154051;;;;;;;;;;;"Since the beginning of the ""Joint Project"" more than 25 students finished a bachelor and project thesis at ZHAW. The exactly number is not known from the other institutions, but we expect roughly the same number of students from PSI, EPFL and EMPA.
This is a strong contribution in education of future engineers for industry, which will take up the here developed technologies and which will operate them in the future.";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;3CA55BB8-0490-4AA3-BC48-4B2B73E21614
153981;;;;;;;;;;;Energy Yield Simulation Tool (Matlab);Software;;2018;A62607AF-527F-4224-89F8-2B807430C89F
153790;;;;;;;;;;;Free open reference implementation of a two-phase PEM fuel cell model;Software;https://www.isomorph.ch;2018;6387AF31-594B-404D-A0FA-42AC4CDDBF1A
153790;;;;;;;;;;;Fuel cell stack model sold to an automotive OEM – this was a separate project but the work on porous layer parameterization and modeling of the membrane electrode assemblies (MEAs) of PEFCs is important to setup macrohomogeneous models.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;8F2F613B-DFD5-4A41-BA3C-4360B4D4FE1A
153790;;;;;;;;;;;Monte Carlo code to simulate the liquid water distribution in GDLs (see publication “An ensemble Monte Carlo simulation study of water distribution in porous gas diffusion layers for PEM fuel cells” mentioned above.);Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;330B8C12-22AB-47A9-A8E7-B9297AE1D3B5
153780;;;;;;;;;;;"Operating principle, test results etc. of this project are part of the master course ""Renewable Energy"" and are discussed in the light of other energy/electricity storage approaches";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://edu.epfl.ch/coursebook/fr/renewable-energy-for-me-ME-460;;2402C159-1E82-40DA-A894-610C37EF69D1
153971;Reviewing a concept of single well geothermal energy recovery;;;;;;;;;Other administration / public sector;SFOE;Expert/reviewer activity;;2016;AC7589E5-C5F5-4133-9290-7CDA19CBA350
153944;;;;;;;;;;;Methodology to assess social impacts of a value chain;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;3BF9037E-98BB-4E9E-9B81-029B780AB207
153927;;;;;;;;;;;BASEMENT v2.8.0;Software;http://www.basement.ethz.ch/;2018;AF033414-90C0-4E33-8367-FED5537EF6A8
153969;;"Cattaneo, Gianluca; Perret-Aebi, Laure-Emmanuelle";;Research institution;;PCT/EP2018/059636;CSEM CENTRE SUISSE D'ELECTRONIQUE ET DE MICROTECHNIQUE SA - RECHERCHE ET DÉVELOPPEMENT Address Rue Jaquet-Droz 1 2002 Neuchâtel Switzerland;Pending;2018-04-16T00:00:00Z;;Colored photovoltaic module integrating fiber meshes;Patent;;2018;CB204201-5132-4CE1-BDBB-AC8AA3AF8076
191585;;;;;;;;;;;"Use of ArcGIS for history writing. I am hoping to develop the idea further to introduce features such as data hosting and visualization to expand my project of historical mapping. 
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;DAD47146-49DD-4449-90F8-1A7EFD9FF49D
199844;;Grotevent, Matthias;;Research institution;;63316074;Massachusetts Institute of Technology;Pending;2022-03-03T00:00:00Z;;Adhesive bonding for bifacial and tandem solar cells;Patent;;2022;12C1481C-F900-46D0-BC9B-6AE2DCEC9F73
168975;"Risk and Resilience Assessment (Guinea) [47 pages]

The analysis identified the drivers of fragility, conflict, and violence and the capacity of state and nonstate institutions to manage them. It built greater understanding and consensus within the World Bank country team on those drivers to ensure they inform country strategies and operations. ";;;;;;;;;Other administration / public sector;World Bank;Expert/reviewer activity;;2017;CBACE5A6-9699-464D-A5E9-402FCDCBBC49
161635;;;Software;;;;;;;;PySeqLab;Licences (software and other);https://bitbucket.org/A_2/pyseqlab/overview;2016;D345B5C9-CAB9-4BE3-A301-F598D1573D82
184471;Participation à une « Communauté d’apprentissage » sur l’enseignement du français entre enseignants et conseillers pédagogiques d’une école primaire de la région de Rimouski.;;;;;;;;;Other administration / public sector;Equipe d'enseignant-es de la Comission scolaire des Phares;Expert/reviewer activity;;2020;F21D06EE-FF02-4354-B4E3-0F5E806538B4
188152;;;Software;;;;;;;;Ptychography with a spectral initialization;Licences (software and other);https://github.com/laboGigan/ptychography-spectral;2020;C66A8CC5-9EAE-4BBB-86CA-520E503731CB
155609;;;;;;;;;;;Online Workplace Sculpting Tool zur Visualisierung von sozialen Distanzen in Teams.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;6FBFD9BE-9C80-4F37-91A3-519D24E892DE
184500;;;;;;;;;;;Modifications to: n2p2 - A Neural Network Potential Package;Software;https://github.com/CompPhysVienna/n2p2/;2021;E15AD18D-8045-42E0-992A-BA547516C9A8
138926;Reviewer panel for the allocation of beamtime at PETRA III.;;;;;;;;;Other administration / public sector;Deutsches Synchrotron Hamburg;Expert/reviewer activity;;2016;1854DE85-9D20-4765-94DC-47CBF1155487
195373;;Heilmann, Michael;;Research institution;;international application No. PCT US2022/070770;The Trustees of Princeton University et al.;Pending;2022-02-22T00:00:00Z;;2-SUBSTITUTED BICYCLO[1.1.1]PENTANES;Patent;;2022;8DFF99C7-BA8B-4DBE-8ECF-3EDF290F683E
150758;Reviewertätigkeit bei diversen wissenschaftlichen Fachzeitschriften (zB. Cell Host & Microbe, European Journal of Immunology, Infection and Immunity,  Immunity, Immunology, Journal of Immunology, etc);;;;;;;;;Industry / private companies;Diverse wissenschafltiche Fachjournale;Expert/reviewer activity;;2014;303D5D9D-3022-411B-9611-2B31AE324151
175041;;;;;;;;;;;Hyde is reversible build tool to manipulate text files. It offers a way to generate a set of text files (e.g. a website) from another (its source). Not only it can run a general-purpose pipeline every time an input changes, but it can also run the pipeline in reverse every time an output change, possibly modifying the pipeline itself.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://github.com/MikaelMayer/hyde-build-tool;;C83140D4-1921-49F7-AF09-F6A109292628
163878;Consultancy to develop a model for hepatitis C in Switzerland;;;;;;;;;Other administration / public sector;Commissioned by Federal Office of Public Health;Expert/reviewer activity;https://www.bag.admin.ch/dam/bag/de/dokumente/mt/forschungsberichte/modell-hepatitis-c-bericht.pdf.download.pdf/modell-hepatitis-c-bericht-de.pdf;2018;5AC88AE0-B658-4770-9420-7D12F55B38AD
177179;;;;;;;;;;;"Website to see to effect of marker misplacement on the gait kinematics. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://markerdisplacementsimulator.unige.ch/;;DC21E536-7D79-4D3C-88C5-05D39243AE4F
177208;;;;;;;;;;;CATALYST: Cytometry dATa anALYSis Tools;Software;http://bioconductor.org/packages/release/bioc/html/CATALYST.html;2018;88700C49-CFF1-4025-BBFA-168D94E322DD
177208;;;;;;;;;;;pipeComp, a general framework for the evaluation of computational pipelines, reveals performant single-cell RNA-seq preprocessing tools;Software;https://github.com/plger/pipeComp;2020;79323492-2ACF-40FC-957A-14E834E69529
191034;"Reviewing PhD awards. ";;;;;;;;;Other foundations / NGOs;British Federation of Women Graduates, United Kingdom;Expert/reviewer activity;;2021;6D32AF9C-4CF2-4732-919E-4CF0311CFB89
160808;;;;;;;;;;;"Prototype chip submission to Europractice MPW, reference 77028/A13630/01
Run n. 5028, April 2016 ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;93B7B002-3D97-470B-9658-C4103993D675
170929;;;;;;;;;;;Vector BioPharma;Start-up;https://careers.ridgelinediscovery.com/jobs;2021;5BA00912-0170-43F8-BC44-146A43E545DC
199328;;;;;;;;;;;RTK-GNSS_Refractometry_SWE;Software;https://github.com/lasteine/RTK-GNSS_Refractometry_SWE;2022;09E0F044-C13A-41B4-AABD-B2A75768F0E6
160717;;;;;;;;;;;"Development of algorithm for the automated graphical presentation of RNA-seq data for select genes/gene groups of interest, Automated sequel of following processes:
- gene extraction from online data bases (e.g. MSigDB and GSKB) via gskb R package (v1.10.0) 
- pathway enrichment scores via Gene Set Variation Analysis with the GSVA R package (v1.26.0)
- analysis via R statistical programming environment (v3.4.3)
- gene signature of interest in graphical plots";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;6D2C7605-4F79-4CDC-9B25-A77892D847DA
160808;;;;;;;;;;;Prototype 0 chip on high resistivity substrate and cover masks for multiproject wafer post-processing. Direct submission with IHP microelectronics. Technology SG13S from IHP microelectronics. September 2017;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;87373B52-9F2A-4018-8FBE-5786E8B643D3
186723;;;;;;;;;;;nmarank: Complex Hierarchy Questions in Network Meta-Analysis;Software;https://cran.r-project.org/web/packages/nmarank/index.html;2021;DF7E5CC2-5861-457A-B6C6-F320B8C3D91D
160808;;;;;;;;;;;Prototype 0 chip on standard IHP process - Europractice reference 77527/A13630/01. Run n. 5527. Technology SG13S from IHP microelectronics. April 2017.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;5F03DBDF-16C3-410A-A070-EF2E2CC466C0
186687;;;;;;;;;;;FMCW radar data processing;Software;https://bitbucket.org/ansi512/mgeodar_acquire/branch/process_data;2021;06C0A2D0-0ADF-4606-A88E-61E2A0F24BF8
199328;;;;;;;;;;;Natura Coaching Steiner;Start-up;;2023;ADAC0DCB-5FAE-4813-8474-577FD251AB00
173728;;Roska, Botond;;Research institution;2020-07-30T00:00:00Z;"WO2020152625A1 ";;Granted;2019-01-24T00:00:00Z;;SynP66 (ProA21), a promoter for the specific expression of genes in retinal ganglion cells;Patent;;2019;D9433B6E-71F1-4F9A-909E-EAE61D282216
194482;;Patrulea, Viorica;;Research institution;;Pending;Inventors: Patrulea Viorica, Carla Funteslopez, Michael Gray, Cathy Ye, Zhanfeng Cui, Constantin Coussios;Pending;2023-03-01T00:00:00Z;;Ultrasonication of Trehalose for Cell Cryopreservation and Lyophilisation;Patent;;2023;DF905C8E-43E6-4E0B-9704-D103930431B9
165186;;;;;;;;;;;"Software Prototyp mit Unterstützung von MIT Student.

(Beschreibung im wissenschaftlichen Bericht)

Code: https://github.com/akscanb/smrtprpty";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://smartproperty.media.mit.edu/;;9A4BA537-2B93-44DA-BB99-95F677CE56F1
183958;;;;;;;;;;;Video lecture, Basics of fMRI;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;DDA1E301-E081-4EC8-AE94-6A586F48104C
155121;;;;;;;;;;;"Prototype d'un programme open source. Ce programme permet de visualiser les résultats d'une collation de manuscrits obtenue grâce au logiciel CollateX (http://collatex.net). L'interface interactive permet à l'utilisateur de modifier la collation, ainsi que de filtrer les résultats afin de déterminer quels manuscrits possèdent des erreurs en commun, selon le principe de la méthode de Lachmann. 
Langage de programmation: Python.
Interface: Jupyter notebook (http://jupyter.org/).
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://github.com/enury/collation-viz;;4C88FD89-86FC-49D7-BA6F-9E51A6581F2E
183897;;Mager, Lukas;;Research institution;;US 62/929,340;Innovate Calgary;Pending;2019-11-01T00:00:00Z;;HARNESSING THE POWER OF MICROBIOTA AND METABOLITES FOR THE TREATMENT OF CANCER;Patent;;2019;C12E8E1F-A7E0-4178-8356-5CB58E8A1907
187746;;;;;;;;;;;SPPAS Qc;Software;;2020;7DF043E3-B60A-4CFE-941C-1B3C34ED5132
183915;;Schürch, Christian;;Research institution;;62/971,722;Stanford University;Pending;2020-02-07T00:00:00Z;;Method for Predicting Patient Response To Immunotherapy;Patent;;2020;BCA37071-A4D9-4B3B-B355-8579AAE03F5E
165209;;;;;;;;;;;Developed an algorithm for the spatial planning of solar plants and wind farms. The algorithm builds on statistical methods to calculate the correlation of weather time series and proves to deliver better results (i.e. lower levelized electricity costs per fleet) than state-of-the-art algorithms.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;1776BE3B-9756-478B-A5C1-62620F50F026
155062;Gutachter bei Masterarbeit für Master in Transdisziplinarität von Rahel Erny;;;;;;;;;Other administration / public sector;Zürcher Hochschule der Kunst;Expert/reviewer activity;https://www.zhdk.ch/?trans;2015;E4EFC07B-FD58-4A2E-B341-67B465A36A06
180232;;"Bellouard, Yves; Pacholska, Michalina; Scholefield, Adam; Vetterli, Martin";;Research institution;;EP3697740A1;EPFL;Pending;2018-10-22T00:00:00Z;;MULTI-SPECTRAL IMAGE PRINITING METHOD;Patent;https://worldwide.espacenet.com/patent/search/family/064457046/publication/EP3697740A1?q=EP3697740A1;2018;2561F8E9-3D2D-447A-BD39-B519694E8F07
183910;;Mangani, Davide;;Research institution;;U.S. Non-Provisional Application No. 17/063,604;Broad Institute, BWH and DFCI;Pending;2020-10-05T00:00:00Z;;METHODS AND COMPOSITIONS FOR THE MODULATION OF CELL INTERACTIONS AND SIGNALING IN THE TUMOR MICROENVIRONMENT;Patent;;2020;1260E68F-C201-4421-BEC0-8BB1F6D9AC78
181303;;;;;;;;;;;KAISER Assigns Inbred Stock Elders Reliably;Software;http://github.com/jnrunge/kaiser;2021;47152C56-6C08-4487-9F94-62007716EC56
194975;;;;;;;;;;;Linguistic Inquiry and Word Count (LIWC2015) software;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;B6D9FEF9-9DB2-4022-9F06-F412E1D771AB
194975;;;;;;;;;;;SONA System;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;B773E2BF-6930-42A7-AFEE-5D686883F3BC
177208;;;;;;;;;;;muscat: Multi-sample multi-group scRNA-seq analysis tools;Software;http://bioconductor.org/packages/release/bioc/html/muscat.html;2019;ADE0A5D5-C095-4D4A-85A7-530CF47D6505
199355;;Beck, Katharina;;Companies;;-;"Implexion Pharma ";Pending;2023-03-12T00:00:00Z;;-;Patent;;2023;3F45B073-31B0-4754-8676-F1EC307DA95F
168637;Ad-hoc Reviewer;;;;;;;;;Other administration / public sector;Work, Aging and Retirement;Expert/reviewer activity;;2018;E2D4D4D3-4D25-401C-A90D-3F93161D690B
161871;;;;;;;;;;;Handbuch für die Ausgestaltung der Supply Chain Management Organisation und Governance multinationaler Unternehmen basierend auf den Benchmarks, Best Practices und erarbeiteten Erkenntnissen der durchgeführten Forschung.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;4D90E8A4-8D44-46F8-9DDA-B580B0FCA747
186733;"As a member of the Science Panel for the Amazon (SPA), I was commissioned to contribute to Chapter 2 of the 2021 Amazon Assessment Report that provides a comprehensive, objective, open, transparent, systematic, and rigorous
scientific assessment of the state of the Amazon’s ecosystems, current trends, and their
implications for the long-term well-being of the region, as well as opportunities and policy
relevant options for conservation and sustainable development.";;;;;;;;;Other administration / public sector;" United Nations Sustainable Development Solutions Network (SDSN)";Expert/reviewer activity;https://www.theamazonwewant.org/;2019;78CE88BE-E536-4535-BD95-641FB9ED57BC
194975;;;;;;;;;;;REDCap software;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;C509E116-8672-4BDD-806F-8155D3363AE7
194975;;;;;;;;;;;Native American Research. Collaborative Institutional Training Initiative (CITI) Program, University of Arizona, online training.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;AB88E2E1-7A96-4BBC-8090-7B76D0672D23
183830;;;;;;;;;;;"Teaching Material for the following courses:
1. Predicting Life and Death: Quantitative Approaches to Human Health and Disease, Freshmen course at Harvard University (03/2020)
2. Data Science for Life Sciences, MBA course jointly offered by Harvard Stem Cell and Regenerative Biology Department and Harvard Business School (01/2021)
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;672E3F98-97D0-4768-A26A-4849085D872F
154490;Comitte Member new EULAR Treatment guidelines for systemsic sclerosis 2017;;;;;;;;;Other foundations / NGOs;EULAR - European League against Rheumatism;Expert/reviewer activity;;2015;102C3040-76E0-4D99-B99C-F313245080C5
184033;"peer-reviews for: Neuropsychology; Clinical EEG and Neuroscience; European Child & Adolescent Psychiatry; Journal of Autism and Developmental Disorders; Psychological Medicine.
For a list of verified reviews see link below for Publons.com. 
There are additional verified reviews that can be found on: https://orcid.org/0000-0002-1071-0693";;;;;;;;;Other administration / public sector;reviewer for different journals;Expert/reviewer activity;https://publons.com/researcher/1754031/nadja-ging-jehli/;2019;DC4C6799-3DB0-4DCB-9DBB-49391EEC586E
194975;;;;;;;;;;;"Machine Learning. Statistical Horizons LCC, 3 days. Workshop given by Dr. Seth Flaxman, Associate Professor at the University of Oxford
";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;439BBB9F-A907-4323-AA66-513FDC63D383
154490;Reviewer Project grant round 2016;;;;;;;;;Other foundations / NGOs;GILS - Padiglione Litta Fond. IRCCS, Milano, Italia;Expert/reviewer activity;;2016;C1AF4F63-3C13-4F8A-A72C-585B84985A27
147673;;;;;;;;;;;Picture Stress Test: evaluation of child's subjective experience about actual emotions. First validation with experts, parents and children in 2014;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;9C05A91E-8E22-4B52-815B-5E5B4C88D14B
147673;;;;;;;;;;;"Analysis code of heart rate variability in preschool children. Validation in progress. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;36931E1F-0F9A-4B90-844C-60232C2C67EC
141877;;;;;;;;;;;"FACT Quick Look Analysis: public access to preliminary FACT results; real-time of actual night and archive from previous nights";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);http://fact-project.org/monitoring/;;B223EEF3-FF40-40C8-AD71-538E248B9FA0
141877;;;;;;;;;;;Second Camera API using protobufs and zeroMQ;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;1D4E99F4-51CD-44CE-963C-412687DFF774
141877;;;;;;;;;;;File format prototype using ptoto buffers and compressed FITS;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;24C24F7E-02C4-48C9-9440-C023F8F8D359
158817;;Nussbaumer, Martin;;Research institution;;62/354,843;President and Fellows of Harvard College, 17 Quincy Street Cambridge, Massachusetts 02138, USA;Pending;2016-06-27T00:00:00Z;;SELF-ASSEMBLING ENZYME IMMOBILIZATION ON CURLI NANOFIBERS FOR CATALYTIC BIOFILMS;Patent;;2016;B21D8787-A366-4ECF-8FCB-6B587C8C9932
122689;;;;;;;;;;;ArsoLux;Start-up;http://www.arsolux.ufz.de/index.php?de=20706;2010;724BCEC4-7F71-4759-9A14-537A44E330E2
136230;;;;;;;;;;;Linguistic corpus sms4science. Freely available for research.;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://sms.linguistik.uzh.ch/bin/view/Main/WebHome;;7539B520-F80C-4EA4-B3AF-188C1AA536B4
175030;;;;;;;;;;Other administration / public sector;Peer-reviewing of an original scientific article for the Journal of Economic Theory.;Expert/reviewer activity;;2019;1D2390F0-CACA-4466-B654-62C02B44CEEA
136230;;;;;;;;;;;Tools for statistical analyis with non standard corpus data;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;6C022A4E-C269-4279-A222-9FE0E21DF52E
174749;Member of the executive committee. Contribute to the development of a new business model for MorphoBank so it can continue to be a free online resource for research in morphology;;;;;;;;;Other administration / public sector;MorphoBank;Expert/reviewer activity;https://morphobank.org/index.php/About/Index;2018;90EF99E2-EA6B-47D7-A6A6-B1310E8535B2
126830;;;;Grant holder / project staff;;;;;;;"Trademark ""ONEBAT""";Other copyrights;;2011;AE55224B-A026-48F9-A2AC-51FC5538FB6A
136286;;;;;;;;;;;We have developed a custom-made common qRT-PCRarray;Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);;;4FB1061B-A46C-4991-9D1A-F62737C37F91
171912;;;;;;;;;;;"Qualcomm Award Application which promotes values of innovation, execution and partnership. 

An ultra-low power speech recognition system with self-powered microphone material and analog computing. (round 2)";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://drive.google.com/open?id=1uVyHSsLmmUwEJmbzarj4keKpB1xanwnz;;7CD01EF9-5248-495D-9A4A-BB989D71687C
162034;;;;;;;;;;;"Konzept für das Postgraduierten Studienprogramm ""Arts and International Cooperation"" (CAS). Der Kurs ist 2017 an der Zürcher Hochschule der Künste angelaufen. ";Others (e.g. unlicensed products/procedures, prototypes, demonstrators, teaching materials);https://www.zhdk.ch/cas-arts-and-international-cooperation-3221;;0D9BF4A7-7FFD-479F-8401-3E87A7BEB4D4
200219;"Guest Editor at Frontiers in Epidemiology for the topic ""Decoding the Urban Environment: from Complex Exposure Mixtures to Human Health""";;;;;;;;;Industry / private companies;Frontiers in Epidemiology;Expert/reviewer activity;https://www.frontiersin.org/research-topics/29726/decoding-the-urban-environment-from-complex-exposure-mixtures-to-human-health;2021;5CF3F83D-34A6-49AD-A44D-4B65691CB46E
189957;;"Du, Jiemin; Dunne, Matthew; Kilcher, Samuel; Loessner, Martin";;Research institution;;21200534.2;ETH Zurich;Pending;2021-10-01T00:00:00Z;;Bacteriophages producing heterologous bacteriocins;Patent;;2021;D434868B-8725-4831-9AB5-12CB6B11AC07
151853;;Thyagarajan, Krishnan;;Grant holder / project staff;;" CIT 7356-P";Thyagarajan, Krishnan;Pending;2015-11-10T00:00:00Z;;Millivolt-scale dynamic reflectance modulation using gate-tunable metasurfaces;Patent;;2015;DA38DC90-E85B-43B0-B604-707FCDDF579F
147668;"Gutachten ""NFA, Steuerwettbewerb und Mobilität der Steuerzahler"" zum Finanzausgleichs-Wirksamkeitsbericht 2012-2015";;;;;;;;;Other administration / public sector;Eidgenössische Finanzverwaltung;Expert/reviewer activity;https://www.efv.admin.ch/dam/efv/de/dokumente/finanzausgleich/wirksamkeitsberichte/Steuerwettbewerb_und_Mobilit%C3%A4t.pdf.download.pdf/Steuerwettbewerb_und_Mobilit%C3%A4t.pdf;2014;178E49B4-C7DF-4C00-A0BD-F00CAE8F00AC
161635;;;Software;;;;;;;;Bio-medical Named Entity Recognizer (BioNER);Licences (software and other);https://bitbucket.org/A_2/bio-entity-recognition;2016;E630D287-7C45-4876-8459-EAD41838C89A
178007;Reviewer for the new guidance for governments developing National Action Plans on Business and Human Rights on how they can incorporate considerations relating to the tech sector;;;;;;;;;Other foundations / NGOs;Danish Institute for Human Rights;Expert/reviewer activity;;2020;4C03A74F-BC67-4745-A3F0-02A2F703A961
