GrantNumber;KnowledgeTransferEvent_Date;KnowledgeTransferEvent_Event;KnowledgeTransferEvent_InvolvedPerson;KnowledgeTransferEvent_Place;KnowledgeTransferEvent_TargetGroup;KnowledgeTransferEvent_Type;KnowledgeTransferEvent_Url;KnowledgeTransferEventId
198227;2021-08-24T00:00:00Z;Exursion to Davos station in the framework of the Summer School “FORMON - Long-term Forest Monitoring”;;Davos, Switzerland;Other administration / public sector;Self-organised;;2C022741-677E-469E-87FA-36DA9EAE16ED
198227;2022-08-13T00:00:00Z;Visit of BKW Summer School at Jungfraujoch;Leuenberger, Markus;Jungfraujoch, Switzerland;Industry / private companies;Talk;;44519A1C-777C-4FDC-9ED4-B1F31C1964A9
147718;2014-06-11T00:00:00Z;103RD SESSION OF THE INTERNATIONAL LABOR CONFERENCE;Olarreaga, Marcelo;International Labor Organization, Switzerland;Other administration / public sector;Talk;;E53171BF-E514-46A9-86EF-B122DBC05103
116430;2009-07-03T00:00:00Z;"Integrierte psychiatrische Behandlung: Instrumente und Verfahren für die Soziale Arbeit. Fachtag UPD Waldau ";Sommerfeld, Peter;Schloss Erlach, Switzerland;Other administration / public sector;;;34203C37-2593-4B3A-8D3E-6230F40E631D
145807;2014-01-20T00:00:00Z;Annual European Trade Union Institue Standardisation network meeting;Hauert, Christophe;Bruxelles, Belgium;Other foundations / NGOs;;;949C1AF3-0FB3-4F46-9444-6510A4E6B812
201213;2022-09-17T00:00:00Z;"Participatory workshop for Plastic Manufacturers in Kerala organized with the support of Federation of Indian Chamber of Commerce and Industries (FICCI) on preventing marine litter in ecosystems through implementing EPR & SUP ban ";;Ernakulam, India;Industry / private companies;Self-organised;;84B50E56-6219-406A-9E86-65D75063FAD4
131340;2011-04-14T00:00:00Z;Post-Earthquake Reconstruction: Lessons learnt and Ways Forward, organized by the Gujarat State Disaster Management Authority;Duyne Barenstein, Jennifer E.;Ahmedabad, Switzerland;Other administration / public sector;;http://www.gsdma.org;622DB210-4DE8-4424-AB00-0EA3C50E1DC2
167068;2017-05-15T00:00:00Z;Tracking antibiotic resistance from environmental reservoirs to the food chain;;Bern, Switzerland;Other administration / public sector;Self-organised;;E08ED18D-7B48-4192-9531-33CB0950610F
153769;2018-01-31T00:00:00Z;Assises Européennes de la transition énergétique (part of Inspiration: Energy Living Labs Collaborating with Consumers, Citizens and Cities by Sahakian);"Blumer, Yann Benedict; Kobe, Carmen; Moser, Corinne; Seidl, Roman; Stauffacher, Michael; Tomic, Uros";Geneva, Switzerland;Other administration / public sector;Talk;;EECE0624-31DE-4CC6-90FA-0DD13CAD48D5
153769;2018-05-17T00:00:00Z;Meeting city of Aarau: presentation of project and exchange of ideas for research-city collaboration;;Aarau, Switzerland;Other administration / public sector;Self-organised;;4BB3FE4E-22DE-41D3-980A-B16481CA8825
153769;2016-10-20T00:00:00Z;Fourth project board meeting;;Zürich, Switzerland;Other administration / public sector;Self-organised;;98E7E2F1-1538-49E0-9BE4-DFE174AB04EB
153769;2014-10-01T00:00:00Z;Numerous bilateral meetings with representatives from Winterthur, Baden, and Zug to discuss results and develop field experiments;;Winterthur, Baden, Zug, Switzerland;Other administration / public sector;Self-organised;;A8D00963-8D17-4B95-8595-E1FE332DCA0F
197405;2022-11-08T00:00:00Z;Vorstellen der vorläufigen Ergebnisse/advisory board;;St.Gallen, Switzerland;Other foundations / NGOs;Self-organised;;2A0A4057-B1A7-4382-A7BB-07F06BBC0F60
190478;2020-04-24T00:00:00Z;Translating History - History in Translation;"Möckli, Elisabeth Anita; Sambells, Chelsea";University of Geneva, Switzerland;Other administration / public sector;Workshop;;8B39396D-6E2C-4973-A7DF-6531C6B13B36
155523;2015-07-01T00:00:00Z;Networks of Communities: Analyzing Mobility with the myJozi application.;;Johannesburg, South Africa;Other foundations / NGOs;Self-organised;;3CA53402-ACC3-46A9-890D-5ED2E409BC04
140250;2014-04-01T00:00:00Z;Heinrich Bullingers (1504-1575) Briefwechsel und seine europäische Dimension im Rahmen der Lehrveranstaltung: Reformationsgeschichte / Kirchengeschichte der frühen Neuzeit;Kess, Alexandra;Zürich, Switzerland;Other administration / public sector;Talk;;D237B071-CED2-48C0-AF57-2794F6750CD8
185578;2019-04-18T00:00:00Z;"swisspeace Lunch Debate. Présentation du Dr. Ousmane Zina: ""Security transition and the makeshift production of the post-war order in Côte d'Ivoire"" ";Péclard, Didier;Berne, Switzerland;Other foundations / NGOs;Talk;;966D7BD9-2D1A-41C6-8650-A0366A64AFC2
153997;2016-03-11T00:00:00Z;NRECA: Presentation of Commelec;Le Boudec, Jean-Yves;Arlington VA, United States of America;Industry / private companies;Talk;https://www.nreca.coop;1F4F0FCF-6C14-40D1-B52E-D0F2F89C73EF
188402;2023-02-06T00:00:00Z;Hybrider Workshop CH-Team (Computer Science, STS and Inselspital;"Danesi, Giada; Fuchs, Klaus; Schneider, Tanja; Wu, Jing";St. Gallen, Switzerland;Industry / private companies;Workshop;;9A57F0AD-B921-4E23-82DF-5659FC48CDE9
132322;2012-08-23T00:00:00Z;Mitarbeitertagung Bauernhausforschung. Gäste aus Frankreich;;Pfäfers, Berneck, Burgau;Other;Self-organised;;18BFAEC6-8689-40E5-98A3-525C53F3059E
147345;2013-05-03T00:00:00Z;Konzert;;Basel, Musik-Akademie;"Art; Other";Self-organised;;38B5130B-3C29-4602-AD58-01B5B6882D57
173808;2019-09-20T00:00:00Z;Landschaftsveränderungen durch erneuerbare Energieanlagen: Wie werden sie wahrgenommen? Vortrag an der VSE Betriebsleitertagung 2019;"Grêt-Regamey, Adrienne; Spiehofer, Reto";Brunnen, Switzerland;Industry / private companies;Talk;https://www.strom.ch/de/veranstaltung/betriebsleitertagung;168BBE6F-313D-407E-A63E-2704196A08AC
173808;2022-04-11T00:00:00Z;«ENERGYSCAPE» - Empfehlungen für eine Landschaftsentwicklung durch Anlagen erneuerbarer Energien in der Schweiz. Präsentation für Frau Bundesrätin Simonetta Sommaruga;Grêt-Regamey, Adrienne;Bern, Switzerland;Other administration / public sector;Talk;;3962864E-445F-4B9B-98F8-CE5F3D9989CB
173581;2017-06-04T00:00:00Z;Session leader;"Treves, Susan; Zorzato, Francesco";Les Diablerets, Switzerland;Other administration / public sector;Talk;;EE739F50-B377-4B34-A2DA-033FE2748412
182955;2021-11-11T00:00:00Z;Journée Portes Ouvertes Diabète et Obésité;Montessuit, Christophe;Geneva, Switzerland;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);https://www.diabete.unige.ch/;FB19FB3E-3716-4F47-9E33-0206AA38C9C1
180389;2018-06-01T00:00:00Z;Research as Design;Kernbach, Sebastian;Stanford University, United States of America;Other administration / public sector;Workshop;;A5B3DD1F-7103-447F-B2BF-CFAFF68194F6
161146;2018-11-17T00:00:00Z;Welt Frühgeborenen Tag (Lebenswege von Frühgeborenen);Natalucci, Giancarlo;St. Gallen, Switzerland;Other administration / public sector;Talk;;3FCF9CDB-49F6-4530-BBDE-A2FF337E7512
145184;2015-09-10T00:00:00Z;Tänikoner Agrarökonomie-Tagung;Willersinn, Christian;Ettenhausen, Switzerland;Industry / private companies;Talk;;85F510A8-167A-45A4-AAA2-809347D9E2C1
145184;2015-01-22T00:00:00Z;Forscherdialog Nahrungsmittelabfälle;"Mack, Gabriele; Willersinn, Christian";Bern, Switzerland;Other administration / public sector;Workshop;;9BEED42F-2B05-4CD1-BE2D-A5F7077A9A3A
189579;2019-09-10T00:00:00Z;"II.6. TABLE-RONDE : L'impact de la robotisation sur l'organisation du travail / semi-plenary organized within the SSS congress ""The future of work""";;University of Neuchâtel, Switzerland;Other administration / public sector;Self-organised;;0DDDECE9-3165-422E-A4C6-819D3C53A189
129974;2010-10-28T00:00:00Z;Verbrauchsfeedback und Konsumentenverhalten;;Munich, Germany;Industry and business;;;3525DE9F-B0C7-43F4-959A-05A261186C8B
140353;2016-08-11T00:00:00Z;Wieviel kostete das Neue Testament?  Auflage- und Preispolitik der Druckerei von Johannes Froben;Sebastiani, Valentina;Basel, Switzerland;Other administration / public sector;Workshop;http://www.papiermuseum.ch/upload/file/f_20160706-145535.pdf;CDC652E6-F754-4BE4-8739-03DA9B48A07C
140353;2016-08-11T00:00:00Z;Erasmus von Rotterdam;"Burghartz, Susanna; Sebastiani, Valentina";Basel, Germany;Other administration / public sector;Talk;http://www.deutschlandfunk.de/erasmus-von-rotterdam-ein-kosmopolitische-vordenker.1148.de.html?dram:article_id=362819;6F6ACCA1-1509-441D-8302-060DCEB46C48
182284;2021-02-01T00:00:00Z;"Stakeholder Consultation ";;Nottwil, Switzerland;Industry / private companies;Self-organised;;C29F3607-A115-4A06-A78F-7DBE93F6F14E
127942;2010-11-19T00:00:00Z;50 ans laser: La danse des photons;;Fribourg, Switzerland;"Education; Other";Self-organised;http://www.lightandmatter.ch/en/links/9/;C62DF97D-438D-41BF-AEBA-5587A3FA1B01
127942;2010-04-29T00:00:00Z;EPF Public show at the square of the University of Bonn;;Bonn, Germany;"Education; Other";;;8DBC022F-8090-4163-9370-A1093CBC32F4
167195;2018-10-25T00:00:00Z;2. Digital Day, Digital Switzerland, ETH Zurich;Keller, Emanuela;Zurich, Switzerland;Other administration / public sector;Talk;https://www.digitaltag.swiss/fileadmin/user_upload/pdf/Fact_Sheet_Digitaltag_18.pdf;4E9AED45-5189-4EC2-A306-553C4084BD17
167195;2019-03-23T00:00:00Z;Stiftung der Deutschen Wirtschaft;Keller, Emanuela;Constance, Germany;Other foundations / NGOs;Talk;;44E5C8A5-8691-46C9-A47B-27BC6B848412
167195;2018-07-10T00:00:00Z;Scientific Board Meeting Philips Health Systems;Keller, Emanuela;Böblingen, Germany;Industry / private companies;Talk;;F8A7D0B1-A521-48EE-94F4-073D54B40658
143207;2016-06-08T00:00:00Z;SAZ - Werkstattgespräch Forschung 2016;"Hostettler, Ueli; Isenhardt, Anna";Freiburg, Switzerland;Other administration / public sector;Talk;;28BD6B21-B6B8-4F50-B2C3-7B2F3DE60DF3
140977;2012-04-12T00:00:00Z;Origami und Mathematik;Hungerbühler, Norbert;Karlsruhe, Germany;Other administration / public sector;Talk;;3B1DACEE-CE8E-41A8-B086-54F9D8A6D8F9
156977;2015-12-18T00:00:00Z;Community in Progress;"Heibach, Christiane; Navarro, José; Simon, Andreas; Torpus, Jan";Basel, Switzerland;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);https://www.theater-basel.ch/Spielplan/Community-in-Progress/oLuJCtvR/Pv4Ya/;01CD2744-6AE8-4CE0-B545-04C81CF54E13
152399;2015-05-07T00:00:00Z;Cours FSRM: Traitements tribologiques de surfaces;Gay, Pierre-Antoine;Neuchâtel, Switzerland;Industry / private companies;Talk;http://www.fsrm.ch/doc/c402.php;AB024AD5-7D0D-4064-BE10-0574E2ECC7A6
152399;2015-03-09T00:00:00Z;Cours théoriques et pratiques donnés dans le cadre de la formation MAS-Horloger, HE-Arc;Gay, Pierre-Antoine;Neuchâtel, Switzerland;Industry / private companies;Talk;http://ingenierie.he-arc.ch/ing_mas_ch/mas-ch-master-advanced-studies-en-conception-horlog%C3%A8re;85832528-AFE1-43D5-A15D-7D7944BB983F
152399;2014-09-03T00:00:00Z;Cours FSRM: Cours pratique: Dépôt des couches minces et fonctionnalisation des surfaces (Partie II - dépôts par voie humide);Gay, Pierre-Antoine;La Chaux-de-Fonds, Switzerland;Industry / private companies;Workshop;http://www.fsrm.ch/doc/c457.php;FE9F7BF5-0F18-483B-A21E-CD1384652CBE
150758;2016-10-03T00:00:00Z;Praktikum einer Schülerin der Kantonsschule Zug in meinem Labor;;Zürich, Switzerland;Other administration / public sector;Self-organised;;D778D5F8-BADB-44DD-903B-7CDE8F7A0339
176760;2019-07-15T00:00:00Z;"Citizens' Assembly: Una risposta alla crisi della democrazia elettorale (Exposé: ""Il modello di Oregon e la sua applicazione in Svizzera"")";Stojanovic, Nenad;Roma, Italy;Other administration / public sector;Talk;https://www.oderal.org/2020/05/24/citizens-assembly-una-risposta-alla-crisi-della-democrazia-elettorale-roma-15-07-2019/;5A32C9C6-43E6-4EAE-967F-7D407395717D
176760;2020-11-10T00:00:00Z;"Bürgerrat im Gespräch (Exposé: ""Volksentscheide - besser mit Bürgerräten?)";Geisler, Alexander;Online, Germany;Other administration / public sector;Talk;https://www.mehr-demokratie.de/nc/service-beratung/termine/terminansicht/online-seminar-volksentscheide-besser-mit-buergerraeten/;C0F3982F-E79D-443E-A325-044BA093DE59
152891;2016-04-11T00:00:00Z;" Was Menschen für Geld (nicht) tun - Neuroökonomische Erkenntnisse über Motivation und Entscheidungsfindung (Ernst Basler AG)";Ruff, Christian;Zurich, Switzerland;Industry / private companies;Talk;;3B368FFA-0277-4977-B547-0475061CC6BE
138105;2013-09-25T00:00:00Z;Idee per lo spazio pubblico di Lugano;;Lugano , Switzerland;Other administration / public sector;Self-organised;http://www.sbt.ti.ch/bclu/manif/evento_scheda.jsp?id=28815;E3EB1979-06DB-40FA-8716-27B56F425093
144688;2013-11-06T00:00:00Z;Droit européen de la santé - Séminaires Europe- Séminaires d'approfondissement des connaissances des employés fédéraux et cantonaux sur les questions européennes;Dagron, Stéphanie;Berne, Switzerland;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);http://europa-seminare.ch/?L=1;D519ED3D-D25C-441C-A052-A1E595EAB25E
139220;2013-06-27T00:00:00Z;Maxquant summer school;;Munich, Germany;"Education; Health care; Industry and business";;;FBB641DB-CF3B-46B3-8601-567E1324BD74
150713;2015-04-17T00:00:00Z;"seminar am Abteilung Maschinen-Ingenieurwissenschaften  PSI ";Zaharko, Oksana;PSI, Switzerland;Other administration / public sector;Talk;;1C4175A8-BCA1-4E99-B712-CF6CF543430A
177351;2022-06-07T00:00:00Z;Kindesvernachlässigung: Fürsorgepraxis gestern und heute. Dialog-Veranstaltung des NFP 76: Protezione dell'infanzia e interventi nella sfera familiare: ieri e oggi. Kindesschutz und Eingriffe in die Familie: gestern und heute;"Niehaus, Susanna; Vogel Campanello, Margot";Bellinzona, Switzerland;Other administration / public sector;Talk;;F1891497-1F28-4FB3-864A-0413DBEFBA35
177385;2019-07-26T00:00:00Z;First Transdisciplinary Workshop;;Santiago Atitlan, Guatemala;Other administration / public sector;Self-organised;;E878B086-5147-40A3-9FF5-0623D49F9398
163661;2018-03-16T00:00:00Z;BAFU meeting on Soil Pollution in Switzerland;Mestrot, Adrien;Bern, Switzerland;Other administration / public sector;Talk;;39266B24-5843-43FB-81DE-2AD491CA2726
163661;2019-11-04T00:00:00Z;Federal Office for Metrology (METAS) - National Reference Laboratory for Chemical Elements - Seminar;"Caplette, Jaime; Mestrot, Adrien";Bern, Switzerland;Other administration / public sector;Talk;;13D76CA8-1C43-4D7B-965C-28C84D5CB298
185622;2022-02-03T00:00:00Z;Kolloquium der Fachstelle für Kinderbetreuung Luzern;Abraham, Andrea;Kriens, Switzerland;Other foundations / NGOs;Talk;;8E833DE0-22BA-4556-B890-058497DA31C2
191721;2021-11-19T00:00:00Z;Urban Forum - Practice meets Academia // Time in design / Temporal processes;;Lund, Sweden;Industry / private companies;Self-organised;;207A69B8-5DCF-4E27-97DB-26A01EDE061F
191721;2021-02-05T00:00:00Z;Urban Forum - Practice meets Academia // The responsibility of design / Rethinking Proceesses;;SLU - Alnarp, Sweden;Industry / private companies;Self-organised;;984434A0-FCF2-4E89-B2F0-01F90E7BAFB0
191721;2021-11-12T00:00:00Z;Urban Forum - Practice meets Academia // Time in design / Navigating past, present, and future;;Lund, Sweden;Industry / private companies;Self-organised;;82AD073C-B8BF-49B6-9CD2-50833F31AF3E
158706;2016-03-15T00:00:00Z;"Internes Kolloquium, BAFU Abt. Kommunikation (""Lokale Klimawandelkommunikation und Motivation zum Klimaschutz"")";Gadient-Brügger, Adrian;Bern, Switzerland;Other administration / public sector;Talk;;781E6638-52F8-4E62-8CDF-803AD79B7DB4
164410;2017-04-14T00:00:00Z;"Introduction to IHL ";Gal, Tom;Geneva, GCSP, Switzerland;Other administration / public sector;Workshop;;C423F5AB-A3E8-4539-862B-D0336E549891
162177;2016-05-02T00:00:00Z;The EU and China: Climate Change and Energy Diplomacy;Sun, Yixian;Brussels, Belgium;Other administration / public sector;Talk;https://www.coleurope.eu/events/eu-and-china-climate-change-and-energy-diplomacy;1C91851E-4287-4336-92FB-555C67F1F494
165353;2016-12-05T00:00:00Z;Lecture about Cardiovascular disease in old age at the Master of Vitality and Ageing Program;Streit, Sven;Leiden, Netherlands;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);http://en.mastersinleiden.nl/programmes/vitality-and-ageing/en/introduction;C04D11EA-A953-4DF8-AFBB-A43FF283591C
177584;2018-10-05T00:00:00Z;Stabilisation des systèmes de culture d'igname et préservation de l'environnement;;Midebdo, Burkina Faso;Other administration / public sector;Self-organised;https://drive.google.com/file/d/1W1rJXFYhTqqvwwHstdHtvdKUb78sNVNA/view?usp=sharing;06C65762-55DF-43BF-A072-2B4C49A40171
171763;2018-02-20T00:00:00Z;Exercise is Medicine Knowledge Translation Event;Croci, Ilaria;Trondheim, Norway;Other administration / public sector;Workshop;;A836A39D-BB61-4F3A-A313-5392BAD3E882
191657;2020-11-04T00:00:00Z;Mieux comprendre le développement socio-émotionnel de l’enfant en situation de polyhandicap (parties 1 et 2);Cavadini, Thalia;Université de Genève, Switzerland;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);https://moodle.unige.ch/pluginfile.php/831350/mod_resource/content/2/Polyhandicap_TC_partie2.pdf;A79E1174-3891-4AC3-88A0-00522EF2C14E
191657;2021-11-03T00:00:00Z;Apports de l’oculométrie pour déceler et entrainer des compétences socio-émotionnelles insoupçonnées chez des enfants en situation de polyhandicap: premiers résultats d'une recherche universitaire conduite à l'IME La Clé des Champs;Cavadini, Thalia;"Institut Médico Educatif ""La Clé des Champs"", 74140 Saint-Cergues, France, France";Other foundations / NGOs;Talk;;82689996-70E0-4BEC-9CD0-D05DC170736D
195112;2022-03-31T00:00:00Z;"Foldscope microscopy workshops for school-aged children; infectious diseases at the microscopic scale";;Kaolak, Saint Louis, Dakar, Senegal;Other administration / public sector;Self-organised;;B710C789-96CD-4108-86AA-040FDB3D0A15
149314;2014-07-03T00:00:00Z;22. Münchener Elektrophysiologie-Kurs (Universitäts-Augenklinik Mathildenstrasse);Palmowski-Wolf, Anja;München Universitäts-Augenklinik Mathildenstrasse, Germany;Other administration / public sector;Talk;;FCD6D131-C693-4243-86E2-2AA858D4EC55
149314;2017-06-22T00:00:00Z;Münchener Elektrophysiologie-Kurs (Universitäts-Augenklinik Mathildenstrasse);Palmowski-Wolf, Anja;München, Germany;Other administration / public sector;Talk;;CEE69591-48BF-430E-8594-A06920F176BF
134594;2014-03-26T00:00:00Z;Hauptvortrag an der Tagung Schule und Eltern - eine herausfordernde Beziehung;Neuenschwander, Markus;Aarau, Switzerland;Other administration / public sector;Talk;;8E80C764-A9E7-43A3-B2B1-A51BE53031C0
134594;2013-11-15T00:00:00Z;"Tagung ""Elternbildung ist Kinderchance - wie Schule und Eltern den Bildungserfolg von Kindern gemeinsam fördern können"". Pädagogische Hochschule St. Gallen";Neuenschwander, Markus;Gossau, Switzerland;Other administration / public sector;Talk;;CAC1F628-FD54-4C67-A4B6-7CD97687ED70
134594;2012-06-02T00:00:00Z;Institutionalisierte Elternmitwirkung in der Schule;Neuenschwander, Markus;Zürich, Switzerland;Other administration / public sector;Talk;;98F33423-80DA-4366-8A84-CF47DEB44103
162680;2017-07-04T00:00:00Z;Tagung des SDBB: Neues aus der Berufswahl- und Laufbahnforschung;Spurk, Daniel;Bern, Switzerland;Other administration / public sector;Talk;;024A3DF9-5D88-4E56-BC74-565A14A8191D
120198;2011-02-03T00:00:00Z;«Balmisried», Vortrag anlässlich der Vernissage von Band 2 des Solothurnischen Namenbuches, «Die Flur- und Siedlungsnamen der Amtei Dorneck-Thierstein»;;Refektorium des Klosters Dornach;"Education; Other";;;C8F1CDA7-B759-4EEF-8EF8-013E293A61C9
120198;2009-11-13T00:00:00Z;"«Flurnamen in Beinwil»; Vortrag für den Historischen Verein Beinwil";;Beinwil;"Education; Other";;;C2840F42-F1D4-4E26-B383-035CC2231BDD
177592;2019-03-07T00:00:00Z;National Advisory Group Meeting;;Antananarivo, Madagascar;Other foundations / NGOs;Self-organised;;D1EC770D-98A4-4C5D-8FD0-023B9A91D262
177592;2021-07-15T00:00:00Z;SED leading committee workshop (with revolving fund experts from Yangon);;Yebuy township, Tanintharyi region , Myanmar;Industry / private companies;Self-organised;;771A3068-F168-4D13-8AF8-2B9630C1EFE1
177592;2020-10-12T00:00:00Z;Study trip for SED groups (to study about the Elephant Foot Yam plant growing and processing method);;Dawei township, Tanintharyi region, Myanmar;Industry / private companies;Self-organised;;BD26F87D-7605-47A3-AA45-A1B6291CE4C1
177592;2019-11-26T00:00:00Z;Restitution of research results with decision-makers;;Antananarivo, Madagascar;Other administration / public sector;Self-organised;;DAAF236B-3D79-4074-AFE2-A21CCE6B806B
177592;2018-02-28T00:00:00Z;National Advisory Group Meeting;;Antananarivo, Madagascar;Other foundations / NGOs;Self-organised;;0D2A204A-3EE7-43EC-BEB9-A1813EE8B409
177592;2019-02-23T00:00:00Z;Sustainable Economic Development (SED) leading committee workshops (monthly from Feb 2019 - Oct 2020);;Yebuy township, Tainintharyi region, Myanmar;Industry / private companies;Self-organised;;027F99AB-A92B-4EE9-B572-54D1D24E49CE
177592;2020-07-15T00:00:00Z;SED group training: Dengue prevention and leadership training;;Yebuy township, Tanintharyi region , Myanmar;Industry / private companies;Self-organised;;84B97641-A496-48D6-A141-5554DBD2E1E3
157627;2016-06-27T00:00:00Z;Visit to the Centre pédagogique pour la prévention des séismes (Sion);;Sion, Switzerland;Other foundations / NGOs;Self-organised;http://www.cpps-vs.ch/fr-fr/;19C7EA8F-ABF0-4C9D-97B1-5576038BA429
157627;2016-03-12T00:00:00Z;General Assembly of the Society Switzerland-Bhutan;Hetényi, György;Zürich, Switzerland;Other foundations / NGOs;Talk;;53818834-2CC5-4B4C-9FE3-035C88EA299F
150758;2014-12-08T00:00:00Z;Erfolgreich Forschungsanträge schreiben: Worauf es ankommt?;;Zürich, Switzerland;Other administration / public sector;Self-organised;http://www.vet.uzh.ch/Studium/gast.html;FCC88DBE-7096-421D-A0FD-B1FBBE1584A6
150758;2015-01-29T00:00:00Z;Women in Science;Leibundgut-Landmann, Salomé;Zürich, Switzerland;Other administration / public sector;Workshop;https://www.ls2.ch/files/c24/2015-ls2-annual-meeting-program.pdf;F04BB63A-E6D0-478A-8F50-B4E856131232
129279;2013-11-05T00:00:00Z;3. Programmtagung des NFP60;"Aeschlimann, Belinda; Herzog, Walter; Ignaczewska, Julia; Makarova, Elena";Biel, Switzerland;Other administration / public sector;Poster;;3F3FC4C1-C77F-4981-B69E-DC9D7F58B0CA
129279;2015-03-26T00:00:00Z;am Begegnungstag „Gymnasien-Hochschulen“ der Erziehungsdirektion des Kantons Bern;"Aeschlimann, Belinda; Makarova, Elena";Bern, Switzerland;Other administration / public sector;Talk;;66A61937-CF67-458B-A797-E253630167C9
176760;2019-02-16T00:00:00Z;"Von der Ohnmacht zur Wirkmacht (Exposé: ""Direkte Demokratie gegen Populismus"")";Stojanovic, Nenad;St. Polten, Austria;Other foundations / NGOs;Talk;https://kmb.dsp.at/sites/www.dsp.at/files/u192/einladung_maennertag.pdf;884C8F5D-F3EA-46B7-A2A5-62D54CF41B8E
152891;2015-10-12T00:00:00Z;Hendrick's Chambers of the Curious, Villa Tobler;Ruff, Christian;Zurich, Switzerland;Other administration / public sector;Performances, exhibitions (e.g. for education institutions);https://www.belgianwino.com/hendricks-gin-chambers-of-the-curious/;34173C51-821F-462B-B0A5-DB74CA233D3D
138105;2013-07-03T00:00:00Z;Longlake festival Lugano;Scholz, Claudia;Lugano , Switzerland;Other administration / public sector;Talk;http://2013.longlake.ch/events/detail?id=15605&festival_id=106;9DEF0910-5524-4492-BF3A-6338959E557B
139063;2013-10-23T00:00:00Z;Musik & Mensch. Konzert- und Kolloquiumsreihe der Fachhochschule Nordwestschweiz / Pädagogische Hochschule;Stollberg, Arne;FHNW, Campus Brugg-Windisch, Switzerland;Other administration / public sector;Talk;;958DFF49-3E95-428C-BB12-37CB208222E7
198901;2022-05-31T00:00:00Z;"Who Cares? Genre et action humanitaire ";"Edgar, Brenda Lynn; Martin Moruno, Dolores";Musée International de la Croix Rouge et du Croissant Rouge, Switzerland;Other foundations / NGOs;Performances, exhibitions (e.g. for education institutions);;ADE1D239-134B-4C5E-A22E-0DBDA7F913E9
144688;2014-04-07T00:00:00Z;Séminaire sur les politiques pharmaceutiques à l'attention des experts francophones - Organisation Mondiale de la santé;Dagron, Stéphanie;Genève, Switzerland;Other administration / public sector;Talk;;3FF14A38-DA99-475D-A02B-0C0A71D19488
144688;2016-07-14T00:00:00Z;WHO Expert group - Updating the WHO guidance on ethics of TB prevention, care and control;"Dagron, Stéphanie; Wallace, Angus E. M.";OMS secrétariat Genève, Switzerland;Other administration / public sector;Talk;https://www.who.int/tb/areas-of-work/drug-resistant-tb/Biographiesonlineposting.pdf.;5419ADD6-FED5-40AC-917B-34A583823345
144688;2013-10-16T00:00:00Z;"Regional Workshop on ""Tuberculosis, ethics and human rights"", WHO bureau regional europe";Dagron, Stéphanie;Copenhagen, Denmark;Other administration / public sector;Talk;http://www.euro.who.int/__data/assets/pdf_file/0004/242941/Tuberculosis,-ethics-and-human-rights.pdf;4BA50550-4C71-4CB9-8DE2-3787DE741C0B
125957;2011-11-08T00:00:00Z;BDU Jahrestagung - Wasser: Selbstverständlich oder ein knappes Gut?;;Olten;"Administration / politics; Other";;;BED12937-5AA3-4412-A009-00D657A196C7
125997;2011-09-01T00:00:00Z;Tagung und 100. Hauptversammlung des Schweizerischen Wasserwirtschaftsverbandes (SWV);Schleiss, Anton;Solothurn, Schweiz, Switzerland;Industry / private companies;;;18EAD986-409C-407C-8CE3-A117D344D7B7
125997;2010-09-08T00:00:00Z;CIEP/DGA Workshop on Glacial Hazards under Accelerated Change and Climate Uncertainty – Impacts on Population, Infrastructure and Ecosystems.;Haeberli, Wilfried;Coyhaique, Patagonia, Chile, Chile;Industry / private companies;;;43578E90-F3F5-48B7-BCB5-5217C438C596
125997;2012-08-27T00:00:00Z;"International Disaster and Risk Conference. Integrated assessment of high mountain hazards, related risk reduction and climate change adaptation strategies in the Peruvian Cordilleras. ";Haeberli, Wilfried;Davos, Switzerland;Other administration / public sector;;;5486FB40-CF36-4580-8B3D-CF63DAF2857A
172471;2018-11-09T00:00:00Z;"Circular Resource Lab - Technical Workshop ";Brunner, Dunia;Lausanne, Switzerland;Industry / private companies;Workshop;https://www.circularresourceslab.ch;DECEDEA8-B0C0-4BAA-B958-A031D6F4D79F
172471;2019-11-25T00:00:00Z;Ringvorlesung des GIZ (Deutsche Gesellschaft der Internationalen Zusammenarbeit);Takacs, Fabian;Berlin, Germany;Other foundations / NGOs;Talk;;77392280-42D6-4702-86EC-5391C2BB205D
172471;2019-05-02T00:00:00Z;LACE - Workshop N°3;;Lausanne, Switzerland;Industry / private companies;Self-organised;;3758163E-F8DE-4B61-A358-7F40EE4D48D6
172471;2018-10-02T00:00:00Z;LACE - Workshop N°2;;St. Gallen - Weiterbildungszentrum Holzweid, Switzerland;Industry / private companies;Self-organised;;E8E4090E-F087-45A6-B9A7-7F83AB687EE3
172471;2021-09-16T00:00:00Z;Futurological congress in the alps;Desing, Harald;Bozen, Italy;Industry / private companies;Talk;https://www.futurologicalcongress.it/;7E626053-A672-401B-808A-2A6D861C3F30
